# 文件说明: 最终大矩阵候选集合的 HCL-Fing 调度诊断统计。
# CSV格式: 注释行以#开头；随后第一行是字段名；第二行是中文字段说明；第三行开始是数据
# 维护命令: python3 scripts/annotate_results_csv.py
matrix,n,nnz,num_levels,avg_parallelism,max_level_width,min_level_width,avg_row_nnz,max_row_nnz,same_warp_dependencies,non_prior_warp_dependencies,status
矩阵名,矩阵维度,lower CSR非零元数,层级数量,平均层级并行度,最大层宽,最小层宽,平均每行非零元数量,最大行非零元数量,同一warp内依赖数量,非前序warp依赖数量,运行状态或错误类型
ACTIVSg70K,69999,154313,17,4117.59,20287,1,2.2045,12,0,0,ok
G2_circuit,150102,438388,733,204.778,450,1,2.9206,4,3,20,analysis_order_error
HTC_336_4438,226340,565431,6,37723.3,94693,1030,2.49815,25,0,67,analysis_order_error
HTC_336_9129,226340,554881,6,37723.3,94693,1030,2.45154,25,0,16,analysis_order_error
a2nnsnsl,80016,231123,3,26672,40008,20004,2.88846,5004,0,0,ok
a5esindl,60008,170008,3,20002.7,30004,15002,2.83309,5004,0,0,ok
aug3dcqp,35543,85829,2,17771.5,27543,8000,2.41479,10,0,0,ok
bauru5727,40366,101724,40,1009.15,9813,2,2.52004,34,0,0,ok
bloweybl,30003,80002,2,15001.5,20002,10001,2.66647,10002,0,0,residual_error
circuit_4,80209,190423,15,5347.27,46341,7,2.37409,6704,0,7,analysis_order_error
hcircuit,105676,309410,23,4594.61,30331,1,2.92791,5,0,0,ok
juba40k,40337,101659,40,1008.42,9808,2,2.52024,34,0,1,analysis_order_error
lung2,109460,273647,479,228.518,15198,2,2.49997,3,0,731,analysis_order_error
m133-b3,200200,586229,8,25025,88020,2,2.92822,5,0,0,ok
power197k,197156,2284067,688,286.564,24650,1,11.5851,905,36,2674,analysis_order_error
rajat09,24482,65073,182,134.516,267,1,2.65799,3,0,71,analysis_order_error
rajat10,30202,80303,202,149.515,297,1,2.65886,3,0,111,analysis_order_error
shallow_water1,81920,204800,1016,80.6299,8225,1,2.5,4,0,83,analysis_order_error
shallow_water2,81920,204800,1016,80.6299,8225,1,2.5,4,0,86,analysis_order_error
shar_te2-b3,200200,589261,8,25025,88025,1,2.94336,5,0,0,ok
shock-9,36476,107766,545,66.9284,199,1,2.95444,3,2,7,analysis_order_error
shyy161,76480,228482,13038,5.86593,162,1,2.98747,4,201,246,analysis_order_error
ss1,205282,525873,147,1396.48,95978,1,2.56171,6,0,0,ok
tandem_dual,94069,277281,350,268.769,13243,1,2.94763,5,1,34,analysis_order_error
