# 文件说明: 四个小矩阵 quick sanity 的干净结果文件，不作为正式性能结论。
# CSV格式: 注释行以#开头；随后第一行是字段名；第二行是中文字段说明；第三行开始是数据
# 维护命令: python3 scripts/annotate_results_csv.py
mode,method,matrix,n,nnz,diag_filled,warmup,repeat_solve,repeat_analysis,statistic,analysis_ms,solve_ms,total_1_ms,total_10_ms,total_100_ms,split_internal_sum_ms,split_sptrsv1_ms,split_spmv_ms,split_sptrsv2_ms,split_transfer_ms,residual,residual_pass,status,error,timeout
运行模式,方法名,矩阵名,矩阵维度,lower CSR非零元数,补对角数量,预热次数,求解计时重复次数,分析/准备计时重复次数,统计方式,分析准备中位时间ms,单次完整求解端到端中位时间ms,一次求解总时间ms,十次求解总时间ms,百次求解总时间ms,Split内部计时求和ms,Split第一段三角求解ms,Split中间SpMV时间ms,Split第二段三角求解ms,Split内部传输求和ms,相对残差 ||Ax-b||/||b||,残差是否通过阈值检查,运行状态或错误类型,失败原因或诊断信息,是否超时
quick,cusparse_spsv,sherman5,3312,11571,0,1,3,3,median,1.1508159637451172,0.077504001557826996,1.2283199653029442,1.9258559793233871,8.9012161195278168,,,,,,5.7493697237936178e-17,true,ok,,false
quick,mkl,sherman5,3312,11571,0,1,3,3,median,0.022316000000000003,0.0054630000000006618,0.027779000000000664,0.07694600000000662,0.56861600000006618,,,,,,6.4285831236502976e-17,true,ok,,false
quick,hcl_fing,sherman5,3312,11571,0,1,3,3,median,0.3399679958820343,,,,,,,,,,,false,analysis_order_error,HCL analysis schedule may deadlock: missing_rows=0 duplicate_rows=0 invalid_ranges=0 invalid_rows=0 over_capacity_warps=0 same_warp_dependencies=0 non_prior_warp_dependencies=18 first_missing= first_same_warp= first_non_prior_warp=255<-209@w82<=w83;256<-209@w0<=w83;448<-401@w73<=w146;915<-867@w0<=w59;1359<-1313@w91<=w93;1360<-1313@w0<=w93;1600<-1553@w99<=w184;2604<-1500@w0<=w57;2703<-2657@w208<=w213;2704<-2657@w108<=w213;2793<-1689@w0<=w57;2886<-1782@w0<=w57,false
quick,split_sptrsv,sherman5,3312,11571,0,1,3,3,median,0.73445301305036992,0.0793229999999987,0.81377601305036862,1.5276830130503569,8.6667530130502399,0.037888001650571823,0.037888001650571823,0.001247999956831336,0.0012799999676644802,0.011935999616980553,8.1304587345206715e-17,true,ok,,false
quick,cusparse_spsv,nos6,675,1965,0,1,3,3,median,0.90726399421691895,0.066592000424861908,0.97385599464178085,1.573183998465538,7.5664640367031097,,,,,,2.997075767531459e-18,true,ok,,false
quick,mkl,nos6,675,1965,0,1,3,3,median,0.016015999999999586,0.0030749999999999389,0.019090999999999525,0.046765999999998975,0.32351599999999348,,,,,,2.997075767531459e-18,true,ok,,false
quick,hcl_fing,nos6,675,1965,0,1,3,3,median,0.27881601452827454,0.032767999917268753,0.31158401444554329,0.60649601370096207,3.5556160062551498,,,,,,2.9970757693468652e-18,true,ok,,false
quick,split_sptrsv,nos6,675,1965,0,1,3,3,median,0.52048299775924534,0.079763999999999058,0.60024699775924439,1.3181229977592359,8.4968829977591511,0.040959998965263367,0.040959998965263367,0.0012799999676644802,0.0012799999676644802,0.0094719999469816685,5.3221209798589035e-17,true,ok,,false
quick,cusparse_spsv,bcsstk21,3600,15100,0,1,3,3,median,1.0854400396347046,0.080063998699188232,1.1655040383338928,1.8860800266265869,9.0918399095535278,,,,,,4.4969424508196285e-20,true,ok,,false
quick,mkl,bcsstk21,3600,15100,0,1,3,3,median,0.034824999999999662,0.0061770000000000991,0.041001999999999761,0.096595000000000653,0.65252500000000957,,,,,,4.4969424508196285e-20,true,ok,,false
quick,hcl_fing,bcsstk21,3600,15100,0,1,3,3,median,0.33494400978088379,0.033535998314619064,0.36848000809550285,0.67030399292707443,3.6885438412427902,,,,,,4.4969424508196285e-20,true,ok,,false
quick,split_sptrsv,bcsstk21,3600,15100,0,1,3,3,median,0.79940898600034416,0.092680999999998903,0.89208998600034306,1.7262189860003332,10.067508986000234,0.050175998359918594,0.050175998359918594,0.0012799999676644802,0.001247999956831336,0.012416000012308359,1.3534416081673374e-16,true,ok,,false
quick,cusparse_spsv,bcsstk14,1806,32630,0,1,3,3,median,3.5438721179962158,0.49215999245643616,4.036032110452652,8.4654720425605774,52.759871363639832,,,,,,7.2635393180199382e-17,true,ok,,false
quick,mkl,bcsstk14,1806,32630,0,1,3,3,median,0.049343000000000359,0.011765999999999721,0.06110900000000008,0.16700299999999757,1.2259429999999725,,,,,,6.5059100285549312e-17,true,ok,,false
