# 文件说明: 最终大矩阵候选集合 quick 筛选结果，包含可运行性和残差状态。
# CSV格式: 注释行以#开头；随后第一行是字段名；第二行是中文字段说明；第三行开始是数据
# 维护命令: python3 scripts/annotate_results_csv.py
mode,method,matrix,n,nnz,diag_filled,warmup,repeat_solve,repeat_analysis,statistic,analysis_ms,solve_ms,total_1_ms,total_10_ms,total_100_ms,split_internal_sum_ms,split_sptrsv1_ms,split_spmv_ms,split_sptrsv2_ms,split_transfer_ms,residual,residual_pass,status,error,timeout
运行模式,方法名,矩阵名,矩阵维度,lower CSR非零元数,补对角数量,预热次数,求解计时重复次数,分析/准备计时重复次数,统计方式,分析准备中位时间ms,单次完整求解端到端中位时间ms,一次求解总时间ms,十次求解总时间ms,百次求解总时间ms,Split内部计时求和ms,Split第一段三角求解ms,Split中间SpMV时间ms,Split第二段三角求解ms,Split内部传输求和ms,相对残差 ||Ax-b||/||b||,残差是否通过阈值检查,运行状态或错误类型,失败原因或诊断信息,是否超时
quick,cusparse_spsv,power197k,197156,2284067,368,1,3,3,median,61.313022613525391,1.7204480171203613,63.033470630645752,78.517502784729004,233.35782432556152,,,,,,-nan,false,residual_error,residual >= 1e-10,false
quick,mkl,power197k,197156,2284067,368,1,3,3,median,10.692596999999999,2.5634780000000035,13.256075000000003,36.327377000000034,267.04039700000033,,,,,,-nan,false,residual_error,residual >= 1e-10,false
quick,hcl_fing,power197k,197156,2284067,368,1,3,3,median,3.8919680118560791,,,,,,,,,,,false,analysis_order_error,HCL analysis schedule may deadlock: missing_rows=0 duplicate_rows=0 invalid_ranges=0 invalid_rows=0 over_capacity_warps=0 same_warp_dependencies=36 non_prior_warp_dependencies=2674 first_missing= first_same_warp=2231<-1773@w16469;2278<-2199@w8301;3823<-2153@w17980;4331<-2213@w17324;5205<-2567@w18399;8187<-6373@w22658;9587<-2301@w18296;9973<-7007@w24095;10429<-7119@w25397;29525<-29315@w17157;30132<-30125@w15891;31328<-31239@w28074 first_non_prior_warp=1288<-1171@w9903<=w10107;2054<-1817@w7352<=w15933;2054<-1821@w7352<=w16081;2054<-1825@w7352<=w16043;2060<-1691@w9612<=w14265;2061<-1691@w10442<=w14265;2062<-1691@w9613<=w14265;2063<-1691@w10443<=w14265;2067<-1691@w8702<=w14265;2168<-1757@w15096<=w15259;2198<-1710@w7353<=w14972;2198<-1711@w7353<=w15143,false
quick,split_sptrsv,power197k,197156,2284067,368,1,3,3,median,40.942438147962093,1.8262090000000057,42.768647147962099,59.204528147962151,223.56333814796267,1.5570469982922077,0.1106560006737709,0.056000001728534698,1.2919909954071045,0.31632000207901001,-nan,false,residual_error,residual >= 1e-10,false
quick,cusparse_spsv,ACTIVSg70K,69999,154313,0,1,3,3,median,1.7549439668655396,0.064479999244213104,1.8194239661097527,2.3997439593076706,8.20294389128685,,,,,,9.2397286549993661e-17,true,ok,,false
quick,mkl,ACTIVSg70K,69999,154313,0,1,3,3,median,1.3114530000000002,0.31137199999999865,1.6228249999999989,4.4251729999999867,32.448652999999865,,,,,,8.7440010988778444e-17,true,ok,,false
quick,hcl_fing,ACTIVSg70K,69999,154313,0,1,3,3,median,0.77004802227020264,0.048287998884916306,0.81833602115511894,1.2529280111193657,5.5988479107618332,,,,,,9.2744413540321904e-17,true,ok,,false
quick,split_sptrsv,ACTIVSg70K,69999,154313,0,1,3,3,median,5.2254451557528228,0.15102800000000371,5.3764731557528265,6.7357251557528599,20.328245155753194,0.047072000801563263,0.047072000801563263,0.0012799999676644802,0.0013119999784976244,0.071839998243376613,8.4136625806979994e-16,true,ok,,false
quick,cusparse_spsv,HTC_336_9129,226340,554881,0,1,3,3,median,3.993567943572998,0.11878400295972824,4.1123519465327263,5.1814079731702805,15.871968239545822,,,,,,-nan,false,residual_error,residual >= 1e-10,false
